,D,eigen_values_obs,pos,vel,des_vel,normals,dists
0,"[[12.02816315  0.99694199 -0.10862391]
 [ 0.99694199 47.54896932 -3.87638637]
 [-0.10862391 -3.87638637 12.42273128]]","[[31.87067738  0.          0.        ]
 [ 0.         20.5909907   0.        ]
 [ 0.          0.         12.        ]]",[0.38477012 0.45404536 0.17361456],[0.00125267 0.00524776 0.00393047],[-0.00542943 -0.19362133  0.02111338],"[[0.61911528]
 [0.76712695]
 [0.16796581]]",[7.95097597]
1,"[[13.22616898 -0.14817807 -0.73070053]
 [-0.14817807 32.2599697  -0.86866759]
 [-0.73070053 -0.86866759 12.48068222]]","[[29.46738371  0.          0.        ]
 [ 0.         13.57193482  0.        ]
 [ 0.          0.         12.        ]]",[0.38478663 0.45410285 0.17366775],[0.0024123  0.00593004 0.00761773],[-0.02858543 -0.16721603  0.02510335],"[[-0.08632091]
 [ 0.99625565]
 [ 0.00483436]]",[5.22841721]
2,"[[13.80341008 -1.0362776  -0.65510841]
 [-1.0362776  56.08189509 -0.84150328]
 [-0.65510841 -0.84150328 12.2720867 ]]","[[60.          0.          0.        ]
 [ 0.         13.77658997  0.        ]
 [ 0.          0.         12.        ]]",[0.38490454 0.45402286 0.17379051],[ 0.01028094 -0.00642822  0.01506347],[-0.03594879 -0.16898851  0.01837027],"[[-0.08621852]
 [ 0.99626466]
 [ 0.00480459]]",[5.46940246]
3,"[[13.79201768 -1.11463818 -0.66016438]
 [-1.11463818 56.16015581 -0.83273613]
 [-0.66016438 -0.83273613 12.27876508]]","[[60.         0.         0.       ]
 [ 0.        13.7704736  0.       ]
 [ 0.         0.        12.       ]]",[0.38509847 0.4538561  0.17396023],[ 0.02318712 -0.02180251  0.0142522 ],[-0.03570982 -0.16889823  0.01862185],"[[-0.08630401]
 [ 0.99625713]
 [ 0.00483151]]",[5.45535274]
4,"[[13.61609998 -1.78191645 -0.71663039]
 [-1.78191645 56.81869672 -0.80233053]
 [-0.71663039 -0.80233053 12.37695508]]","[[60.          0.          0.        ]
 [ 0.         13.68046109  0.        ]
 [ 0.          0.         12.        ]]",[0.38538485 0.45351033 0.1741165 ],[ 0.03161215 -0.03954337  0.01592471],[-0.03240755 -0.16761404  0.02192708],"[[-0.08628296]
 [ 0.99625923]
 [ 0.00477411]]",[5.33284012]
5,"[[13.43806951 -2.37107367 -0.7548457 ]
 [-2.37107367 57.42121292 -0.7176448 ]
 [-0.7548457  -0.7176448  12.48897278]]","[[60.          0.          0.        ]
 [ 0.         13.60070518  0.        ]
 [ 0.          0.         12.        ]]",[0.38574895 0.45302306 0.17433136],[ 0.03940573 -0.05107329  0.02395059],[-0.02888432 -0.1665872   0.02528702],"[[-0.08620153]
 [ 0.9962658 ]
 [ 0.00487304]]",[5.20762988]
6,"[[13.35244862 -2.67729088 -0.76584853]
 [-2.67729088 57.75025228 -0.63610521]
 [-0.76584853 -0.63610521 12.54818235]]","[[60.         0.         0.       ]
 [ 0.        13.5661917  0.       ]
 [ 0.         0.        12.       ]]",[0.38623386 0.45238414 0.17466243],[ 0.04604516 -0.06051983  0.03161551],[-0.02702498 -0.16624094  0.02699467],"[[-0.08631122]
 [ 0.99625588]
 [ 0.00495992]]",[5.13152359]
7,"[[13.35523252 -2.74614044 -0.76214072]
 [-2.74614044 57.83944578 -0.6072159 ]
 [-0.76214072 -0.6072159  12.54354471]]","[[60.          0.          0.        ]
 [ 0.         13.56305317  0.        ]
 [ 0.          0.         12.        ]]",[0.38671357 0.45174077 0.17493902],[ 0.05677981 -0.07501338  0.03133115],[-0.02700703 -0.16638028  0.02699978],"[[-0.08640832]
 [ 0.9962486 ]
 [ 0.00472558]]",[5.10976085]
8,"[[13.40153913 -2.70102225 -0.75934117]
 [-2.70102225 57.82307271 -0.5963017 ]
 [-0.75934117 -0.5963017  12.5158494 ]]","[[60.          0.          0.        ]
 [ 0.         13.58407218  0.        ]
 [ 0.          0.         12.        ]]",[0.38727237 0.45094582 0.17521238],[ 0.05288611 -0.07802824  0.02467447],[-0.02792828 -0.1664792   0.02630263],"[[-0.08626945]
 [ 0.99626098]
 [ 0.00465118]]",[5.11364882]
9,"[[13.39859337 -2.49379183 -0.75759392]
 [-2.49379183 57.81575321 -0.52809004]
 [-0.75759392 -0.52809004 12.49571438]]","[[60.          0.          0.        ]
 [ 0.         13.58450283  0.        ]
 [ 0.          0.         12.        ]]",[0.38794365 0.4499765  0.17554138],[ 0.05926969 -0.07943533  0.03272022],[-0.02893548 -0.16657844  0.02558297],"[[-0.08238016]
 [ 0.99658272]
 [ 0.00603193]]",[5.12110169]
