,D,eigen_values_obs,pos,vel,des_vel,normals,dists
0,"[[12.04419018  1.25335331 -0.13416141]
 [ 1.25335331 47.54849574 -3.80518105]
 [-0.13416141 -3.80518105 12.40731408]]",,[0.39158104 0.45036709 0.17461747],[-1.53278396e-04  1.87185472e-05 -7.58954011e-04],[-0.00683701 -0.19391616  0.02075717],"[[0.63147385]
 [0.75663982]
 [0.16951977]]",[7.99162004]
1,"[[12.04423824  1.25403557 -0.13421802]
 [ 1.25403557 47.54854675 -3.80472096]
 [-0.13421802 -3.80472096 12.407215  ]]",,[0.39159711 0.45036549 0.17462742],[ 0.00488336 -0.00499156  0.00018536],[-0.00684075 -0.19391681  0.0207547 ],"[[0.63149378]
 [0.7566193 ]
 [0.16953713]]",[7.99188551]
2,"[[13.29926529  6.57380018 -1.3677029 ]
 [ 6.57380018 45.26098932 -6.92006909]
 [-1.3677029  -6.92006909 13.4397454 ]]",,[0.39175378 0.45012348 0.1745906 ],[ 0.01573842 -0.02711768 -0.00478226],[-0.03104955 -0.15709918  0.03268505],"[[0.05716716]
 [0.99829307]
 [0.01195241]]",[4.57137463]
3,"[[14.26375722  8.64269465 -1.29402186]
 [ 8.64269465 44.99654659 -4.94038657]
 [-1.29402186 -4.94038657 12.73969618]]",,[0.39194622 0.44972712 0.17450032],[ 0.02054834 -0.04219396 -0.0098999 ],[-0.04150443 -0.15845786  0.023725  ],"[[ 0.05369419]
 [ 0.99846627]
 [-0.01349212]]",[4.4215018]
4,"[[14.1121241   8.37324043 -1.21005951]
 [ 8.37324043 45.19461927 -4.79712307]
 [-1.21005951 -4.79712307 12.69325663]]",,[0.39217448 0.44922722 0.17440496],[ 0.02256433 -0.04798256 -0.00695959],[-0.04045259 -0.160369    0.02317574],"[[ 0.05357863]
 [ 0.99847658]
 [-0.01318501]]",[4.42810039]
5,"[[13.62543864  7.37652184 -1.20858009]
 [ 7.37652184 45.47593265 -5.48474558]
 [-1.20858009 -5.48474558 12.89862871]]",,[0.39235936 0.44872303 0.17432052],[ 0.01921567 -0.05585126 -0.01155985],[-0.03547112 -0.16097406  0.02637423],"[[ 0.05340462]
 [ 0.99849391]
 [-0.01256379]]",[4.48108041]
6,"[[13.21898867  6.40541567 -1.1697473 ]
 [ 6.40541567 45.65851629 -6.14666721]
 [-1.1697473  -6.14666721 13.12249505]]",,[0.39250068 0.4482029  0.17419876],[ 0.01664688 -0.06114037 -0.01377813],[-0.03073056 -0.16147976  0.02948919],"[[ 0.0533777 ]
 [ 0.99849481]
 [-0.01260733]]",[4.52585585]
7,"[[13.03871828  5.91679645 -1.14299701]
 [ 5.91679645 45.70353726 -6.51079391]
 [-1.14299701 -6.51079391 13.25774446]]",,[0.39274822 0.44735692 0.17399967],[ 0.0247641  -0.07355186 -0.01217058],[-0.02836927 -0.16159836  0.0312173 ],"[[ 0.05295252]
 [ 0.99851281]
 [-0.0129692 ]]",[4.52988618]
8,"[[13.03417912  5.90225316 -1.15079514]
 [ 5.90225316 45.68525987 -6.56780257]
 [-1.15079514 -6.56780257 13.28056101]]",,[0.39299565 0.44672435 0.17392009],[ 0.0332836  -0.08132563 -0.00954307],[-0.0282867  -0.16143748  0.03147636],"[[ 0.05310099]
 [ 0.99850391]
 [-0.01304685]]",[4.51096664]
9,"[[13.1220137   6.14250727 -1.18456021]
 [ 6.14250727 45.62739294 -6.48492053]
 [-1.18456021 -6.48492053 13.25059336]]",,[0.39333264 0.44592983 0.1738744 ],[ 0.03283983 -0.07659296 -0.00336062],[-0.02941162 -0.16101505  0.03105117],"[[ 0.05300473]
 [ 0.99851374]
 [-0.01268077]]",[4.47607585]
