,D,eigen_values_obs,pos,vel,des_vel,normals,dists
0,"[[19.31957679 14.48243673  0.43311248]
 [14.48243673 40.65479517  0.85695175]
 [ 0.43311248  0.85695175 12.02562804]]",,[0.64985621 0.08577483 0.25015306],[ 0.00015671 -0.00191648 -0.0004965 ],[-0.09358778 -0.18517179 -0.00553776],"[[0.9630571 ]
 [0.        ]
 [0.26929726]]",[10.65351274]
1,"[[20.32309141  6.2517391  13.8301554 ]
 [ 6.2517391  16.6958804  10.3882703 ]
 [13.8301554  10.3882703  34.98102819]]",,[0.64985384 0.08574686 0.25013451],[-0.00241548 -0.00542622 -0.00437403],[0.12020737 0.09029158 0.19974388],"[[ 0.97170559]
 [-0.03668401]
 [ 0.23332924]]",[0.55090415]
2,"[[19.44884017  6.07310339 13.25859877]
 [ 6.07310339 16.95145337 10.8098495 ]
 [13.25859877 10.8098495  35.59970646]]",,[0.64983589 0.08542524 0.25005964],[-0.0024674  -0.03459281 -0.00955655],[0.11371901 0.09271609 0.2024147 ],"[[ 0.99926826]
 [-0.03800089]
 [ 0.00434392]]",[-0.50335391]
3,"[[19.0400005   3.72938118 13.7829651 ]
 [ 3.72938118 13.97560838  7.30141008]
 [13.7829651   7.30141008 38.98439112]]",,[0.64993128 0.08515411 0.25009119],[ 0.013507   -0.02075086  0.00793813],[0.11055416 0.05856514 0.21644376],"[[ 0.99922667]
 [-0.03686066]
 [ 0.01368749]]",[-0.48839404]
4,"[[ 12.32861778   3.13719379  -1.37122776]
 [  3.13719379  41.94964199 -13.09061005]
 [ -1.37122776 -13.09061005  17.72174023]]",,[0.65039712 0.0851361  0.25047994],[ 0.05316331 -0.0011521   0.04719627],[-0.0238855  -0.22802611  0.09966733],"[[ 0.98873606]
 [-0.04060368]
 [ 0.14405676]]",[-0.18961077]
5,"[[13.81719791  7.59312685 -2.11218868]
 [ 7.59312685 43.72773598 -8.82574016]
 [-2.11218868 -8.82574016 14.45506611]]",,[0.65101616 0.0850355  0.25098117],[ 0.06728317 -0.00011776  0.05372882],[-0.05616812 -0.23469741  0.06528604],"[[ 0.97230841]
 [-0.03933112]
 [ 0.23036801]]",[0.52642701]
6,"[[14.83685129  9.48874621 -2.01062591]
 [ 9.48874621 43.73811224 -6.72517416]
 [-2.01062591 -6.72517416 13.42503647]]",,[0.65165909 0.08458521 0.25145811],[ 0.0581619  -0.05622496  0.04289413],[-0.07017898 -0.23473579  0.04973954],"[[ 0.96365275]
 [-0.03930985]
 [ 0.26425009]]",[0.94106545]
7,"[[14.95106008  9.67349028 -1.98821356]
 [ 9.67349028 43.70942359 -6.51730701]
 [-1.98821356 -6.51730701 13.33951633]]",,[0.65219861 0.08362105 0.25204339],[ 0.04787265 -0.09051636  0.05832733],[-0.07157771 -0.23462967  0.04822395],"[[ 0.9617284 ]
 [-0.04086811]
 [ 0.27093963]]",[0.97576262]
8,"[[ 14.44714812  -3.35297582   8.41821547]
 [ -3.35297582  16.59410149 -11.53427234]
 [  8.41821547 -11.53427234  40.95875039]]",,[0.65266762 0.0827553  0.25268565],[ 0.0510221  -0.10246491  0.07063046],[ 0.06518068 -0.08930773  0.22422223],"[[ 0.96454301]
 [-0.04100254]
 [ 0.26072126]]",[0.8192829]
9,"[[16.32669493 -2.03959022 11.52739347]
 [-2.03959022 12.96145634 -5.43397659]
 [11.52739347 -5.43397659 42.71184873]]",,[0.65306076 0.0818679  0.25324807],[ 0.04881795 -0.11068804  0.06766721],[ 0.08666962 -0.04085578  0.23090947],"[[ 0.96802797]
 [-0.04161001]
 [ 0.24736706]]",[0.64846079]
