,D,eigen_values_obs,pos,vel,des_vel,normals,dists
0,"[[12.03835283  1.16778395 -0.12454555]
 [ 1.16778395 47.5572026  -3.79221802]
 [-0.12454555 -3.79221802 12.40444457]]","[[42.48063397  0.          0.        ]
 [ 0.         20.50681782  0.        ]
 [ 0.          0.         12.        ]]",[0.38869096 0.45743382 0.17434233],[0.00410342 0.00177975 0.00214454],[-0.00635798 -0.19359044  0.02064665],"[[0.62066308]
 [0.76593876]
 [0.16767576]]",[8.07972576]
1,"[[12.03846988  1.16956991 -0.12466718]
 [ 1.16956991 47.55752816 -3.79015976]
 [-0.12466718 -3.79015976 12.40400196]]","[[50.66722155  0.          0.        ]
 [ 0.         20.50591972  0.        ]
 [ 0.          0.         12.        ]]",[0.38872579 0.45747533 0.17438789],[0.00150314 0.00243998 0.0025371 ],[-0.00636766 -0.19359104  0.02063532],"[[0.62065661]
 [0.76592765]
 [0.1677504 ]]",[8.08125209]
2,"[[12.03852727  1.17044409 -0.12473178]
 [ 1.17044409 47.5576544  -3.78930503]
 [-0.12473178 -3.78930503 12.40381833]]","[[49.32665021  0.          0.        ]
 [ 0.         20.50600728  0.        ]
 [ 0.          0.         12.        ]]",[0.38874476 0.45748079 0.17440809],[ 4.68485164e-03 -9.59401053e-05  3.47053744e-03],[-0.00637242 -0.19359184  0.02063068],"[[0.62067131]
 [0.76590789]
 [0.16778623]]",[8.0817357]
3,"[[12.03878634  1.17436609 -0.12517215]
 [ 1.17436609 47.55725529 -3.78994077]
 [-0.12517215 -3.78994077 12.40395837]]","[[60.          0.          0.        ]
 [ 0.         20.51475096  0.        ]
 [ 0.          0.         12.        ]]",[0.38887111 0.45726083 0.17439941],[ 0.01248087 -0.0288347  -0.00230753],[-0.00639418 -0.19360183  0.02063544],"[[0.62105829]
 [0.76559105]
 [0.16780031]]",[8.07944962]
4,"[[12.0389829   1.17731851 -0.12564186]
 [ 1.17731851 47.55607345 -3.7944968 ]
 [-0.12564186 -3.7944968  12.40494364]]","[[60.          0.          0.        ]
 [ 0.         20.53345994  0.        ]
 [ 0.          0.         12.        ]]",[0.38901291 0.45675179 0.17432616],[ 0.01288162 -0.05200061 -0.00917705],[-0.00641109 -0.19362063  0.02066294],"[[0.62177024]
 [0.76502251]
 [0.16775674]]",[8.07160601]
5,"[[12.03910012  1.17906684 -0.12600293]
 [ 1.17906684 47.55484639 -3.79962758]
 [-0.12600293 -3.79962758 12.4060535 ]]","[[60.         0.         0.       ]
 [ 0.        20.5525883  0.       ]
 [ 0.         0.        12.       ]]",[0.3891262  0.45622452 0.17424711],[ 0.01283554 -0.06023324 -0.00952067],[-0.00642146 -0.19363949  0.02069361],"[[0.6224653 ]
 [0.76446684]
 [0.16771227]]",[8.06295582]
6,"[[12.03931232  1.18223579 -0.1265563 ]
 [ 1.18223579 47.55327094 -3.80591615]
 [-0.1265563  -3.80591615 12.40741674]]","[[60.          0.          0.        ]
 [ 0.         20.57746339  0.        ]
 [ 0.          0.         12.        ]]",[0.38929497 0.45554612 0.17414831],[ 0.01585893 -0.06535359 -0.00733458],[-0.00643983 -0.19366438  0.02073144],"[[0.62338949]
 [0.76372581]
 [0.1676557 ]]",[8.05221072]
7,"[[12.03954851  1.18575279 -0.12717139]
 [ 1.18575279 47.55152173 -3.81288278]
 [-0.12717139 -3.81288278 12.40892976]]","[[60.          0.          0.        ]
 [ 0.         20.60457746  0.        ]
 [ 0.          0.         12.        ]]",[0.38948065 0.45480838 0.174036  ],[ 0.01847694 -0.07610091 -0.01337531],[-0.00646021 -0.19369148  0.02077331],"[[0.6243993 ]
 [0.76291636]
 [0.16758324]]",[8.0405579]
8,"[[12.03996347  1.19192797 -0.12804534]
 [ 1.19192797 47.54977165 -3.81900808]
 [-0.12804534 -3.81900808 12.41026488]]","[[60.          0.          0.        ]
 [ 0.         20.63624358  0.        ]
 [ 0.          0.         12.        ]]",[0.38974097 0.45396723 0.17395044],[ 0.03004043 -0.08615279 -0.00723312],[-0.00649529 -0.19372481  0.02081129],"[[0.62560518]
 [0.76192921]
 [0.16757698]]",[8.02823428]
9,"[[12.04068412  1.20259871 -0.12934175]
 [ 1.20259871 47.54811638 -3.82326663]
 [-0.12934175 -3.82326663 12.4111995 ]]","[[60.          0.          0.        ]
 [ 0.         20.67201023  0.        ]
 [ 0.          0.         12.        ]]",[0.39011786 0.45304769 0.17390554],[ 0.03823048 -0.08975029 -0.00224194],[-0.00655509 -0.19376466  0.02083975],"[[0.62703274]
 [0.76073885]
 [0.16764948]]",[8.01644549]
10,"[[12.68515569  5.01633492 -0.31350125]
 [ 5.01633492 59.08842246  0.61824074]
 [-0.31350125  0.61824074 12.96268836]]","[[60.          0.          0.        ]
 [ 0.         13.07822163  0.        ]
 [ 0.          0.         12.        ]]",[0.39059317 0.4520375  0.17389425],[ 0.04644279 -0.09225003 -0.00023367],[-0.03080999 -0.15516765  0.03389472],"[[0.10440814]
 [0.99439108]
 [0.01689162]]",[4.59616623]
