,D,eigen_values_obs,pos,vel,des_vel,normals,dists
0,"[[12.44878861  3.99279679 -0.11203735]
 [ 3.99279679 47.52324195 -0.99677749]
 [-0.11203735 -0.99677749 12.02796944]]",,[0.45645433 0.51165608 0.23894369],[ 0.00231805 -0.00250272 -0.00069441],[-0.02175173 -0.19352151  0.00543019],"[[0.63406082]
 [0.73089538]
 [0.25250508]]",[10.50156374]
1,"[[12.44893424  3.99343617 -0.11206406]
 [ 3.99343617 47.52309206 -0.99685123]
 [-0.11206406 -0.99685123 12.0279737 ]]",,[0.45647352 0.5116377  0.23893961],[ 0.00342539 -0.00309604  0.00010924],[-0.02175533 -0.19352171  0.00543062],"[[0.63409705]
 [0.73086607]
 [0.25249894]]",[10.50150625]
2,"[[12.44989574  3.99765456 -0.11224318]
 [ 3.99765456 47.52210103 -0.99736324]
 [-0.11224318 -0.99736324 12.02800323]]",,[0.45659904 0.51147972 0.23891537],[ 0.01092129 -0.01658448 -0.00579773],[-0.02177916 -0.19352389  0.00543362],"[[0.63436392]
 [0.73064273]
 [0.25247499]]",[10.50045749]
3,"[[12.45139621  4.00422851 -0.1125118 ]
 [ 4.00422851 47.5205599  -0.99806549]
 [-0.1125118  -0.99806549 12.02804389]]",,[0.45679382 0.51122167 0.23888184],[ 0.01926208 -0.02599788 -0.00378497],[-0.02181635 -0.19352762  0.00543779],"[[0.63478732]
 [0.73028401]
 [0.25244867]]",[10.49862341]
4,"[[12.45336427  4.01283726 -0.11274639]
 [ 4.01283726 47.51859702 -0.99794569]
 [-0.11274639 -0.99794569 12.02803871]]",,[0.45704486 0.51088393 0.23887186],[ 0.02339529 -0.03558327 -0.00183881],[-0.02186506 -0.19353292  0.00543758],"[[0.63532774]
 [0.72980622]
 [0.25247087]]",[10.49638187]
5,"[[12.45576326  4.02330276 -0.11310282]
 [ 4.02330276 47.51616899 -0.99842821]
 [-0.11310282 -0.99842821 12.02806775]]",,[0.45735    0.5104115  0.23884507],[ 0.0277284  -0.04640748 -0.00335289],[-0.02192445 -0.19354062  0.0054408 ],"[[0.63603892]
 [0.72917863]
 [0.25249361]]",[10.49244632]
6,"[[12.4577983   4.03215397 -0.11355158]
 [ 4.03215397 47.51403654 -1.00012925]
 [-0.11355158 -1.00012925 12.02816516]]",,[0.45761089 0.50996275 0.23878483],[ 0.02813626 -0.0503349  -0.00761072],[-0.02197482 -0.19354783  0.0054506 ],"[[0.63669387]
 [0.72861639]
 [0.25246599]]",[10.48803935]
7,"[[12.46034479  4.04320261 -0.11405228]
 [ 4.04320261 47.5113983  -1.00171974]
 [-0.11405228 -1.00171974 12.02825691]]",,[0.45793398 0.50939691 0.23872749],[ 0.03073832 -0.05633722 -0.00827561],[-0.02203774 -0.19355719  0.00545994],"[[0.63750823]
 [0.72790495]
 [0.25246316]]",[10.48252144]
8,"[[12.46336272  4.05625806 -0.11455737]
 [ 4.05625806 47.50831521 -1.00283047]
 [-0.11455737 -1.00283047 12.02832207]]",,[0.45831363 0.50876512 0.23868119],[ 0.03778971 -0.06506325 -0.00675317],[-0.02211201 -0.19356766  0.00546676],"[[0.63843203]
 [0.72708779]
 [0.25248343]]",[10.47679354]
9,"[[13.3932103   6.92197058 -0.54850622]
 [ 6.92197058 46.39084307 -2.72517647]
 [-0.54850622 -2.72517647 12.21594663]]",,[0.45872206 0.50809145 0.23860001],[ 0.04153501 -0.06685826 -0.00842862],[-0.03453296 -0.17157221  0.01359561],"[[0.05715231]
 [0.99629282]
 [0.06429797]]",[6.67293122]
10,"[[13.91295386  8.06080845 -0.47991003]
 [ 8.06080845 45.96664928 -2.02224574]
 [-0.47991003 -2.02224574 12.12039686]]",,[0.45914695 0.50742772 0.23852608],[ 0.03981877 -0.06257845 -0.00586767],[-0.04032805 -0.16993442  0.01011725],"[[0.05793995]
 [0.99831364]
 [0.00358251]]",[6.56360415]
11,"[[13.90382915  8.04243514 -0.48220421]
 [ 8.04243514 45.97403757 -2.03699797]
 [-0.48220421 -2.03699797 12.12213328]]",,[0.45957838 0.50677537 0.23846789],[ 0.04434749 -0.06759019 -0.00629593],[-0.04027485 -0.17013493  0.01020086],"[[0.04836346]
 [0.99881529]
 [0.00538424]]",[6.5658129]
