,D,pos,vel,des_vel,normals,dists,controller: [obstacle aware]
0,"[[77.9671065  56.35637291 37.52772498]
 [56.35637291 93.1688106  27.93260077]
 [37.52772498 27.93260077 40.20903374]]",[0.42254672 0.44855305 0.28005352],[-0.00040135 -0.00026136 -0.00089813],[-0.00280652 -0.19794374  0.04502528],"[[0.63445241]
 [0.68482623]
 [0.3584455 ]]",[3.96266812],True
1,"[[77.96846801 56.35644466 37.52805589]
 [56.35644466 93.16766984 27.93215977]
 [37.52805589 27.93215977 40.20896049]]",[0.42255102 0.44854981 0.2800536 ],[-0.00130735 -0.00107354 -0.00233594],[-0.0028075  -0.19794402  0.04502511],"[[0.63446008]
 [0.68481924]
 [0.35844529]]",[3.96267345],
2,"[[78.0156613  56.36284065 37.52974872]
 [56.36284065 93.14396857 27.90660506]
 [37.52974872 27.90660506 40.19589212]]",[0.42257277 0.44834873 0.2799226 ],[-0.00098417 -0.02466307 -0.01628486],[-0.0028051  -0.19795466  0.04506224],"[[0.63471223]
 [0.6846563 ]
 [0.35831011]]",[3.96096514],
3,"[[78.10987436 56.37376978 37.53429289]
 [56.37376978 93.10013326 27.85373685]
 [37.53429289 27.85373685 40.17180758]]",[0.42252743 0.44785773 0.27961362],[-0.00182681 -0.05600032 -0.03341298],[-0.00277806 -0.19798161  0.04515815],"[[0.63520968]
 [0.68433549]
 [0.35804134]]",[3.95620968],
4,"[[ 18.12969106   5.14503485   5.3753107 ]
 [  5.14503485 159.16815694   8.96755044]
 [  5.3753107    8.96755044  29.6907227 ]]",[0.42276801 0.44632905 0.27958645],[ 0.01674241 -0.06225515  0.01321481],[0.07150731 0.15696177 0.1809688 ],"[[0.03880858]
 [0.99677798]
 [0.07019658]]",[2.26623359],
5,"[[ 16.24487673   5.40794605   0.48389552]
 [  5.40794605 159.69688376  -3.68013752]
 [  0.48389552  -3.68013752  25.46203446]]",[0.42302966 0.44554841 0.2797125 ],[ 0.02477572 -0.07226507  0.00753656],[-0.00245768  0.19714616 -0.15371191],"[[ 0.03748727]
 [ 0.99892714]
 [-0.02718972]]",[1.24438544],
6,"[[ 21.93728015   5.86746842 -10.20193269]
 [  5.86746842 159.5617031   -4.43560591]
 [-10.20193269  -4.43560591  33.76123875]]",[0.42324143 0.44502595 0.27985326],[ 0.0275473 -0.0601935  0.0226036],[-0.04482808 -0.0469501   0.07691878],"[[ 0.04528523]
 [ 0.99822289]
 [-0.03873391]]",[1.64883506],
7,"[[16.59037414 -0.08784282 -1.58868334]
 [-0.08784282 16.01307029  0.23638302]
 [-1.58868334  0.23638302 20.27511062]]",[0.42343071 0.44507546 0.28048921],[0.01786215 0.02859067 0.06266555],[-0.02816423 -0.12729845  0.0649125 ],"[[ 0.04516637]
 [ 0.99824074]
 [-0.0384112 ]]",[1.93321162],
8,"[[16.19204469  0.10009633 -1.15582439]
 [ 0.10009633 16.05217158 -0.60243153]
 [-1.15582439 -0.60243153 22.95634951]]",[0.42333352 0.44576006 0.28102423],[-0.01456724  0.07930039  0.06033665],[-0.01920775 -0.14243678  0.07020469],"[[0.04005774]
 [0.99487737]
 [0.0928138 ]]",[2.25354081],
9,"[[16.06816534  0.11810593 -0.73488302]
 [ 0.11810593 16.20463494 -1.27328698]
 [-0.73488302 -1.27328698 23.92269244]]",[0.42315203 0.4464815  0.28153458],[-0.01924078  0.06661174  0.04782906],[-0.01663451 -0.15058634  0.06884377],"[[0.05907986]
 [0.98473279]
 [0.16374032]]",[2.45566923],
10,"[[16.05257227  0.10014212 -0.63726818]
 [ 0.10014212 16.19075541 -1.21389829]
 [-0.63726818 -1.21389829 23.72480862]]",[0.42314257 0.44689704 0.28212671],[0.00995145 0.0165911  0.04204085],[-0.01604475 -0.15024858  0.0678988 ],"[[0.06239425]
 [0.98515017]
 [0.15995658]]",[2.45419524],
11,"[[16.05321558  0.10125781 -0.64121834]
 [ 0.10125781 16.19267183 -1.22010058]
 [-0.64121834 -1.22010058 23.72632635]]",[0.42308243 0.44704003 0.28243346],[-0.01817853  0.01552233  0.0184258 ],[-0.01606528 -0.15032189  0.06781758],"[[0.06219794]
 [0.98503929]
 [0.16071408]]",[2.45605826],
12,"[[ 1.60024554e+01  2.02454719e-02 -1.68829096e-01]
 [ 2.02454719e-02  1.61669310e+01 -1.39205513e+00]
 [-1.68829096e-01 -1.39205513e+00  2.76084925e+01]]",[0.42271616 0.44724534 0.28270048],[-0.02182663  0.01271819  0.01880978],[-0.0070676  -0.12642289  0.08584219],"[[0.04866882]
 [0.99162607]
 [0.1196206 ]]",[2.38716794],
13,"[[ 16.20583218   5.35873479   0.17927074]
 [  5.35873479 158.84855615  11.16701232]
 [  0.17927074  11.16701232  28.817703  ]]",[0.42251418 0.44730128 0.28318381],[-0.00374163 -0.0045931   0.02520217],[-0.00644556 -0.11971143  0.088076  ],"[[0.03721227]
 [0.99570194]
 [0.08481089]]",[2.33022222],
14,"[[ 16.20544345   5.35571789   0.18566307]
 [  5.35571789 158.83708029  11.23315923]
 [  0.18566307  11.23315923  28.86660947]]",[0.4226258  0.44715043 0.2833642 ],[ 0.01625373 -0.01652151  0.023716  ],[-0.00640492 -0.11967106  0.08816365],"[[0.03719406]
 [0.99565718]
 [0.08534273]]",[2.32891531],
15,"[[ 16.20906338   3.52783194  -0.90685996]
 [  3.52783194 159.50152455   7.44887419]
 [ -0.90685996   7.44887419  26.09817085]]",[0.42297492 0.44672174 0.28353624],[ 0.03280637 -0.04502166  0.01295929],[-0.01307699 -0.12324623  0.0831202 ],"[[0.02414049]
 [0.99817435]
 [0.05536432]]",[2.24392416],
16,"[[ 16.36969003   3.98775101  -1.0555898 ]
 [  3.98775101 159.279693     9.16015572]
 [ -1.0555898    9.16015572  23.22451287]]",[0.42342865 0.4456646  0.28354509],[ 0.01937191 -0.06396752 -0.01039944],[-0.01941551 -0.13843184  0.06998697],"[[0.02720269]
 [0.99740962]
 [0.06658878]]",[2.25737245],
17,"[[ 16.3846562    4.33135114  -0.97040282]
 [  4.33135114 159.0989282   10.29444698]
 [ -0.97040282  10.29444698  23.22250251]]",[0.42359097 0.44482928 0.28325996],[ 0.01695145 -0.07343087 -0.02743709],[-0.01989046 -0.14126611  0.06878654],"[[0.02955617]
 [0.99675965]
 [0.07481061]]",[2.25939065],
